name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.58,-4.41857,52352790836,3568782801,33,watch
Render,render,1.85,-2.47926,960412211,86134389,27,watch
Jupiter,jup,0.223795,-4.09693,743030918,44055563,35,watch
Bonk,bonk,6.82e-06,-4.21169,600618352,53193079,54,watch
The Graph,grt,0.0277103,-3.94852,299153226,25809176,43,watch
Pyth Network,pyth,0.051311,-5.90518,294995494,14011237,38,watch
Jito,jto,0.487071,0.54036,228931622,47061403,66,hot
dogwifhat,wif,0.217324,-1.37824,217073564,63975210,38,watch
Raydium,ray,0.777017,-4.76693,209127296,20103825,29,watch
Grass,grass,0.327337,-4.41706,192108534,12265983,31,watch
Helium,hnt,0.896968,-1.77674,164515779,2878786,26,watch
Kamino,kmno,0.02354891,-4.12372,108284960,7788841,46,watch
Orca,orca,1.48,-5.83318,89900504,18788599,26,watch
Wormhole,w,0.01464371,-6.47009,85291656,21470172,45,watch
deBridge,dbr,0.01392973,-1.12065,74166375,5335225,52,watch
Popcat,popcat,0.063653,-5.75208,62387411,13281926,37,watch
GMT,gmt,0.01244758,-5.17733,38735454,10143451,45,watch
Mango,mngo,0.0318654,1.49769,35609522,626.09,64,hot
Nosana,nos,0.341667,6.23578,34166295,789576,63,hot
Drift Protocol,drift,0.0334869,-4.77102,20513439,3137094,43,watch
Tensor,tnsr,0.04229216,-6.79085,14150909,27596711,40,watch
Metaplex,mplx,0.02533508,-3.74947,13066115,427352,48,watch
Marinade,mnde,0.02074148,-1.05279,11174636,1017700,51,watch
Parcl,prcl,0.01395135,-3.22864,6315714,2500442,49,watch
Star Atlas,atlas,0.00018862,-0.81487,4685759,119820,47,watch
Lifinity,lfnty,1.14,-0.3361,0.0,2738.14,29,watch
Sanctum,sanctum,,,,,50,watch
