name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.64,-4.21991,52387712422,3579723533,45,watch
Render,render,1.85,-2.23668,960362822,86235762,45,watch
Jupiter,jup,0.223811,-4.00506,742751830,44241125,43,watch
Bonk,bonk,6.82e-06,-4.13861,600076228,52864370,41,watch
The Graph,grt,0.02771868,-4.03935,299175409,25723261,43,watch
Pyth Network,pyth,0.051303,-5.74228,294991626,13999406,32,watch
Jito,jto,0.48746,0.81362,228929616,46305468,66,hot
dogwifhat,wif,0.217192,-1.46093,216944401,64084272,46,watch
Raydium,ray,0.777316,-4.56151,209003491,19899689,34,watch
Grass,grass,0.327266,-4.48493,192168013,12185981,35,watch
Helium,hnt,0.897148,-1.46327,164555707,2875944,41,watch
Kamino,kmno,0.02353571,-3.84772,108215650,7740741,45,watch
Orca,orca,1.48,-5.70408,89853158,18749398,31,watch
Wormhole,w,0.01460283,-6.66033,84947112,23566148,31,watch
deBridge,dbr,0.01392862,-0.72523,74171928,5346740,54,watch
Popcat,popcat,0.063573,-5.60508,62291295,13274509,35,watch
GMT,gmt,0.01244042,-5.12127,38705649,10193725,33,watch
Mango,mngo,0.03186514,-1.42113,35607622,626.08,47,watch
Nosana,nos,0.341244,6.1262,34123547,789004,69,hot
Drift Protocol,drift,0.03342726,-5.008,20421234,3086443,37,watch
Tensor,tnsr,0.04221413,-7.05382,14134472,27478096,30,watch
Metaplex,mplx,0.02533024,-3.6135,13059208,427844,46,watch
Marinade,mnde,0.02067357,-1.23504,11359277,1020126,52,watch
Parcl,prcl,0.0139026,-4.24074,6309445,2496700,38,watch
Star Atlas,atlas,0.0001874,-1.17664,4656181,119531,47,watch
Lifinity,lfnty,1.14,-0.3424,0.0,2738.16,47,watch
Sanctum,sanctum,,,,,51,watch
