name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.89,-3.82987,52523024155,3541505184,33,watch
Render,render,1.85,-1.28919,961815985,85767913,29,watch
Jupiter,jup,0.223968,-2.92495,743158851,45874155,35,watch
Bonk,bonk,6.84e-06,-3.25788,600641635,52878226,53,watch
The Graph,grt,0.02769285,-2.40916,298913303,27262016,45,watch
Pyth Network,pyth,0.051477,-5.45243,295565766,13944194,38,watch
Jito,jto,0.485485,1.60532,227940282,46191667,66,hot
dogwifhat,wif,0.218615,-0.21223,218116299,63336089,46,watch
Raydium,ray,0.778528,-4.11711,209340686,20104698,27,watch
Grass,grass,0.328481,-4.06549,192457960,12174402,31,watch
Helium,hnt,0.893976,-1.64858,163844692,2895962,26,watch
Kamino,kmno,0.02359106,-3.98551,108279057,7824329,43,watch
Orca,orca,1.48,-4.83755,89819858,18990810,26,watch
Wormhole,w,0.01477569,-3.68772,85882383,24418014,48,watch
deBridge,dbr,0.0139488,-1.20817,74279435,5264153,51,watch
Popcat,popcat,0.063936,-4.7637,62626345,13560975,37,watch
GMT,gmt,0.01237139,-4.45708,38304987,10191373,43,watch
Mango,mngo,0.03190057,1.63567,35647835,393.04,64,hot
Nosana,nos,0.338079,5.71832,33896187,787458,63,hot
Drift Protocol,drift,0.03355456,-4.15869,20517341,3059589,41,watch
Tensor,tnsr,0.04239111,-4.29956,14137224,28486646,40,watch
Metaplex,mplx,0.02538633,-3.27997,13091763,429343,43,watch
Marinade,mnde,0.02103761,0.78916,11519385,29967,63,hot
Parcl,prcl,0.01401014,-3.6591,6343057,2588023,48,watch
Star Atlas,atlas,0.00018857,-0.13565,4684988,118724,46,watch
Lifinity,lfnty,1.14,-0.26619,0.0,2737.77,29,watch
Sanctum,sanctum,,,,,48,watch
