name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,92.0,-3.30919,53156036904,3356931799,34,risk
Render,render,1.89,-0.16796,981701792,81832243,31,risk
Jupiter,jup,0.224599,-2.72572,744899879,47895220,33,risk
Bonk,bonk,6.89e-06,-3.32848,606425952,52982407,44,risk
The Graph,grt,0.02794915,-4.50395,301780635,30114685,37,risk
Pyth Network,pyth,0.052421,-5.38119,301461996,13831812,30,risk
Jito,jto,0.50575,3.17939,237495967,42582134,52,watch
dogwifhat,wif,0.218761,-1.07295,218442894,64327517,33,risk
Raydium,ray,0.785669,-4.02701,211278283,20072328,27,risk
Grass,grass,0.335451,-1.92669,196503545,12112432,29,risk
Helium,hnt,0.900798,-1.03269,165340978,2746300,24,risk
Kamino,kmno,0.02342515,-6.7598,107678775,8325556,37,risk
Orca,orca,1.49,-6.51205,90489879,19429931,25,risk
Wormhole,w,0.01494249,-2.52181,87009991,25994847,42,risk
deBridge,dbr,0.0142928,-0.27703,76111611,5550523,43,risk
Popcat,popcat,0.064385,-4.59947,63204279,13702401,31,risk
GMT,gmt,0.01237813,-3.66682,38519860,10548233,38,risk
Mango,mngo,0.03124119,-1.88853,34918464,509.21,35,risk
Nosana,nos,0.341549,2.98455,34191692,893494,45,watch
Drift Protocol,drift,0.03388909,-4.32508,20709400,3109176,34,risk
Tensor,tnsr,0.04263684,-4.5139,14279273,30905120,33,risk
Metaplex,mplx,0.02564555,-2.79922,13222648,508211,34,risk
Marinade,mnde,0.02111921,1.0863,11538373,22239,47,watch
Parcl,prcl,0.01406978,-9.09513,6377529,3163162,35,risk
Star Atlas,atlas,0.00018941,0.36308,4705777,110935,44,watch
Lifinity,lfnty,1.14,-0.85159,0.0,2752.19,19,risk
Sanctum,sanctum,,,,,32,risk
