name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.63,-4.49166,52402165950,3559946658,33,watch
Render,render,1.85,-2.51564,961171998,86295531,27,watch
Jupiter,jup,0.223878,-4.06132,744401406,45129017,35,watch
Bonk,bonk,6.83e-06,-4.11252,601383741,53315767,53,watch
The Graph,grt,0.02769447,-4.00341,298962297,25889867,43,watch
Pyth Network,pyth,0.051337,-5.85702,295189988,14015315,40,watch
Jito,jto,0.489542,1.15255,230728368,46337908,66,hot
dogwifhat,wif,0.21749,-1.50547,217505040,64059407,35,watch
Raydium,ray,0.777995,-4.64707,209267448,20201072,29,watch
Grass,grass,0.327416,-4.39396,192157665,12271928,31,watch
Helium,hnt,0.896968,-1.77682,164650247,2909751,26,watch
Kamino,kmno,0.02361988,-3.83477,108762978,7616701,48,watch
Orca,orca,1.48,-5.71685,90038289,18782855,26,watch
Wormhole,w,0.01463245,-6.54203,85263073,23567855,45,watch
deBridge,dbr,0.01393118,-0.95761,74182143,5340867,51,watch
Popcat,popcat,0.063706,-5.67462,62624395,13323710,38,watch
GMT,gmt,0.01246599,-5.03708,38854994,10181837,45,watch
Mango,mngo,0.03186522,1.49711,35608076,626.09,64,hot
Nosana,nos,0.34135,6.13734,34127160,791289,63,hot
Drift Protocol,drift,0.03357185,-4.52944,20529908,3145089,43,watch
Tensor,tnsr,0.04232863,-6.71046,14192775,27664964,41,watch
Metaplex,mplx,0.02534634,-3.58635,13088349,426734,46,watch
Marinade,mnde,0.02115591,0.92425,11353952,1017248,67,hot
Parcl,prcl,0.01392865,-3.38611,6305192,2518422,49,watch
Star Atlas,atlas,0.00018758,-1.33036,4661337,119741,46,watch
Lifinity,lfnty,1.14,-0.34393,0.0,2737.87,28,watch
Sanctum,sanctum,,,,,48,watch
