name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.58,-4.27741,52330423217,3577590535,33,watch
Render,render,1.85,-2.24641,960254317,86009732,27,watch
Jupiter,jup,0.223693,-4.05559,742751830,44241876,35,watch
Bonk,bonk,6.82e-06,-4.18097,600076228,53151055,56,watch
The Graph,grt,0.0277015,-4.09885,299175409,25771243,43,watch
Pyth Network,pyth,0.051312,-5.72588,295047223,13990058,41,watch
Jito,jto,0.487289,0.77825,228929616,46327636,66,hot
dogwifhat,wif,0.217169,-1.47169,216944401,64006511,35,watch
Raydium,ray,0.777057,-4.59332,208995265,19705369,29,watch
Grass,grass,0.327136,-4.52313,192190722,12125121,30,watch
Helium,hnt,0.896683,-1.51433,164458316,2847356,27,watch
Kamino,kmno,0.02353424,-4.13803,108215650,7748934,46,watch
Orca,orca,1.48,-5.71243,89887892,18750189,26,watch
Wormhole,w,0.01458373,-6.78235,84947112,23476876,45,watch
deBridge,dbr,0.01392865,-0.72499,74215091,5337847,53,watch
Popcat,popcat,0.063562,-5.62086,62291295,13270462,38,watch
GMT,gmt,0.01243375,-5.17216,38723630,10178970,45,watch
Mango,mngo,0.03186459,-1.42284,35608534,626.07,47,watch
Nosana,nos,0.341195,6.11104,34119651,789087,63,hot
Drift Protocol,drift,0.0334226,-5.02124,20460334,3132610,43,watch
Tensor,tnsr,0.04223201,-7.01446,14134472,27508036,40,watch
Metaplex,mplx,0.02533462,-3.59682,13059208,427852,48,watch
Marinade,mnde,0.02065433,-1.32695,11380643,1017508,52,watch
Parcl,prcl,0.01394096,-3.97651,6315699,2498399,49,watch
Star Atlas,atlas,0.00018742,-1.16541,4686237,119596,48,watch
Lifinity,lfnty,1.14,-0.3424,0.0,2738.16,28,watch
Sanctum,sanctum,,,,,51,watch
