name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.65,-4.4046,52402165950,3573048125,33,watch
Render,render,1.85,-2.23426,961171998,86368238,27,watch
Jupiter,jup,0.224196,-3.8799,744401406,45431823,35,watch
Bonk,bonk,6.83e-06,-3.90228,601383741,53335980,54,watch
The Graph,grt,0.02773728,-3.38744,300076328,27177791,43,watch
Pyth Network,pyth,0.051355,-5.57503,295978320,14017781,38,watch
Jito,jto,0.490789,2.15911,230728368,46251974,66,hot
dogwifhat,wif,0.217741,-1.09781,217505040,64123247,38,watch
Raydium,ray,0.77776,-4.61108,209373957,20220639,29,watch
Grass,grass,0.32686,-4.60341,192189111,12281179,30,watch
Helium,hnt,0.897715,-1.70737,164650247,2906090,27,watch
Kamino,kmno,0.02365469,-3.17527,108762978,7690968,48,watch
Orca,orca,1.48,-5.48482,90038289,18746911,26,watch
Wormhole,w,0.01463918,-5.51881,85263073,23665190,46,watch
deBridge,dbr,0.01393132,-0.87434,74165098,5346174,51,watch
Popcat,popcat,0.063901,-5.17327,62624395,13383143,38,watch
GMT,gmt,0.01248444,-4.12833,38854994,10275207,45,watch
Mango,mngo,0.03186496,1.50312,35608149,626.08,64,hot
Nosana,nos,0.341284,6.244,34127160,791908,63,hot
Drift Protocol,drift,0.03355735,-4.15581,20513575,3131793,43,watch
Tensor,tnsr,0.04241622,-5.91923,14192775,27705636,40,watch
Metaplex,mplx,0.0253742,-3.55284,13088349,425548,45,watch
Marinade,mnde,0.02079856,-0.21631,11353952,1016990,52,watch
Parcl,prcl,0.01391516,-2.59761,6291019,2524796,49,watch
Star Atlas,atlas,0.00018763,-1.30846,4661337,119409,47,watch
Lifinity,lfnty,1.14,-0.33314,0.0,2737.95,28,watch
Sanctum,sanctum,,,,,50,watch
