name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,92.08,-2.83922,53205967465,3398329308,33,risk
Render,render,1.9,0.07042,983636951,82015028,65,hot
Jupiter,jup,0.224973,-2.37068,745764644,47894838,34,risk
Bonk,bonk,6.9e-06,-2.84883,606425952,53107668,51,risk
The Graph,grt,0.02798089,-4.25445,302161846,30059636,43,risk
Pyth Network,pyth,0.05245,-5.14209,301436603,13984440,38,risk
Jito,jto,0.505006,2.96026,237640326,42542383,67,hot
dogwifhat,wif,0.219082,0.0761,218574173,64450407,62,hot
Raydium,ray,0.786104,-4.04563,211397412,20080514,27,risk
Grass,grass,0.336183,-1.12055,196974004,12125243,32,risk
Helium,hnt,0.900832,-1.04458,165289915,2743145,25,risk
Kamino,kmno,0.02339065,-6.59007,107670154,8337706,41,risk
Orca,orca,1.49,-6.43802,90515553,19465338,26,risk
Wormhole,w,0.01495314,-2.3784,87053938,26035770,48,risk
deBridge,dbr,0.01428939,-0.03958,76095730,5259941,49,risk
Popcat,popcat,0.064441,-4.3343,63102404,13707056,37,risk
GMT,gmt,0.0123789,-3.33715,38514747,10597901,45,risk
Mango,mngo,0.03125166,-1.86761,34913976,509.38,42,risk
Nosana,nos,0.34124,3.00333,34139629,889178,62,hot
Drift Protocol,drift,0.03386606,-4.24971,20708957,3062169,43,risk
Tensor,tnsr,0.04263469,-4.32811,14265141,30887387,40,risk
Metaplex,mplx,0.02564445,-2.82185,13222648,508352,45,risk
Marinade,mnde,0.02111907,2.02121,11538373,22239,63,hot
Parcl,prcl,0.01410582,-12.49886,6374761,3138353,38,risk
Star Atlas,atlas,0.00018937,0.17697,4704865,109862,58,hot
Lifinity,lfnty,1.14,-0.82779,0.0,2752.22,24,risk
Sanctum,sanctum,,,,,46,risk
