name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.88,-3.84105,52523024155,3539695254,33,risk
Render,render,1.85,-1.31822,961815985,86014382,29,risk
Jupiter,jup,0.223815,-2.99105,742824521,44462115,35,risk
Bonk,bonk,6.83e-06,-3.3415,600641635,52850296,53,risk
The Graph,grt,0.02767366,-2.4768,298926019,27301701,45,risk
Pyth Network,pyth,0.051426,-5.54609,295565766,13904103,38,risk
Jito,jto,0.485216,1.54893,227940282,46122120,66,hot
dogwifhat,wif,0.218396,-0.31246,218116299,63348204,43,risk
Raydium,ray,0.778298,-4.1454,209293353,20110379,27,risk
Grass,grass,0.328224,-4.14049,192457960,12139927,31,risk
Helium,hnt,0.893321,-1.72056,163844692,2927468,26,risk
Kamino,kmno,0.02356683,-4.08413,108279057,7739776,43,risk
Orca,orca,1.48,-4.87453,89819687,19020470,26,risk
Wormhole,w,0.01475521,-3.82124,85882383,24460690,48,risk
deBridge,dbr,0.01394798,-1.21404,74177935,5263508,51,risk
Popcat,popcat,0.063912,-4.79974,62626345,13557601,37,risk
GMT,gmt,0.0123395,-4.70339,38304987,10146413,45,risk
Mango,mngo,0.03190057,1.63567,35648986,393.04,64,hot
Nosana,nos,0.338123,5.73224,33896187,794969,63,hot
Drift Protocol,drift,0.03354096,-4.19754,20424258,3060843,41,risk
Tensor,tnsr,0.04233294,-4.43088,14137224,28458283,40,risk
Metaplex,mplx,0.02538638,-3.27977,13091763,429320,43,risk
Marinade,mnde,0.02103762,0.78919,11519385,29967,63,hot
Parcl,prcl,0.01401854,-3.60133,6339646,2589132,49,risk
Star Atlas,atlas,0.00018857,-0.13561,4684759,118724,46,risk
Lifinity,lfnty,1.14,-0.26616,0.0,2737.77,29,risk
Sanctum,sanctum,,,,,48,risk
