name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,90.57,-4.42056,52344574175,3563250486,33,watch
Render,render,1.85,-2.56167,959737793,86310949,27,watch
Jupiter,jup,0.223794,-4.0973,743103102,44344084,35,watch
Bonk,bonk,6.82e-06,-4.17838,600748476,53231378,54,watch
The Graph,grt,0.02769971,-3.98523,299153226,25810444,43,watch
Pyth Network,pyth,0.051304,-5.91892,295189988,14002994,40,watch
Jito,jto,0.487436,0.71732,229399685,47051040,66,hot
dogwifhat,wif,0.217362,-1.5637,217065317,63983957,35,watch
Raydium,ray,0.777517,-4.70558,209127296,20177528,29,watch
Grass,grass,0.32718,-4.46303,192157665,12261473,31,watch
Helium,hnt,0.896974,-1.77609,164528855,2907806,26,watch
Kamino,kmno,0.02359838,-3.92231,108535631,7640674,48,watch
Orca,orca,1.48,-5.75645,89916886,19312739,26,watch
Wormhole,w,0.01464006,-6.49341,85190934,23532553,45,watch
deBridge,dbr,0.01392757,-0.98324,74182143,5340313,52,watch
Popcat,popcat,0.06366,-5.74254,62379541,13282352,37,watch
GMT,gmt,0.01244934,-5.16392,38785833,10155376,45,watch
Mango,mngo,0.03186629,1.50051,35608076,626.11,64,hot
Nosana,nos,0.341667,6.23584,34132800,790578,63,hot
Drift Protocol,drift,0.03354523,-4.60515,20529908,3097265,43,watch
Tensor,tnsr,0.04227146,-6.83647,14138831,27590118,41,watch
Metaplex,mplx,0.02533667,-3.74341,13063030,427415,46,watch
Marinade,mnde,0.02078921,-0.82508,11380343,1016939,51,watch
Parcl,prcl,0.01395143,-3.22807,6305192,2501106,49,watch
Star Atlas,atlas,0.00018738,-1.46889,4660276,119854,47,watch
Lifinity,lfnty,1.14,-0.3361,0.0,2738.14,29,watch
Sanctum,sanctum,,,,,50,watch
